,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos
MMP19,0.43777315,0.143258404,0.611769754,0.73016516,-0.20541817,0.174661292,0.86774778,-0.077305476,0.198360122,0.21302274,0.210879704,0.36112913,0.23720888,1.052248775,0.179680189,-0.878081243,0.609337059,0.230739166,0.560041423,-0.06837644,0.009616399,-1.09542169,-1.562724751,-0.525605009,-0.301088293,-0.484406294,-0.417920507,-0.291299047,-0.097977683,-0.296979182,1.228444542,-0.009346376,-0.238458043,0.092258952,-1.328234911,-1.426710083,0.694704083,-4.616390934,-0.7849391,-0.082104034,2.077208535,-0.48387148,1.330604702,0.173963362,0.682521947,0.973724081,-1.149162873,1.421585998,0.176667007,0.742499282
MMP25,-0.456577963,0.347567075,-0.531210608,-0.225799032,-0.516516598,-0.871711993,0.429588884,-0.326555023,-0.040886006,-0.238560241,-0.460380061,0.428049193,0.231855959,-0.327990969,-0.658193147,-0.541284873,0.286461754,-0.101527315,-0.118533275,0.241421587,-0.377372226,0.283086431,-0.426222888,-0.08284047,-0.060582079,-0.671516804,0.093101908,-0.209619992,0.265203755,0.163370749,-0.024117666,0.913135009,2.072994799,0.748495862,0.164916908,0.278455683,0.634431019,-2.08211897,0.80004021,1.927867599,-2.08211897,1.473304523,-0.984060342,2.649558044,-2.08211897,-1.421332354,-2.08211897,1.4739842,0.881431824,1.213544831
MOV10L1,-0.665094626,-0.220843448,-0.439890466,0.13386964,-0.460137542,0.046617274,-0.282523833,0.146745911,-0.212241525,-0.072187759,-0.620926474,-0.040528414,-0.032287299,0.313481885,0.204634717,0.08538673,-0.145356195,-0.149643481,-0.231262202,-0.246218063,-0.385287066,0.349594637,0.457204895,-0.258880017,-0.233489962,-0.250629008,0.151669215,0.191712595,-0.540426714,-0.383365377,-0.307612937,-0.784215369,-0.784215369,-0.341197131,0.623624762,-0.137856763,-0.204955802,-0.784215369,-0.3884127,-0.424708052,0.338501075,-0.435470289,0.389414123,4.810071604,-0.784215369,-0.200208226,4.309233953,-0.420960393,-0.416726828,-0.265572949
MSR1,-0.915965045,-0.376319101,-0.578556565,-0.066677404,-0.336088639,0.699450249,1.445207922,0.712278457,0.429160914,0.485590131,-0.832229014,-0.06135653,-0.322525908,0.624478837,0.695646513,-0.353097283,0.880688121,0.801404178,0.174624109,0.08652564,-1.201757789,-1.116062052,-1.226878113,-0.769876685,-0.473729251,0.001099663,0.095712251,0.301200205,0.446856768,0.236687983,-0.179615771,-2.728375975,-0.948174454,0.992881328,0.58499141,-0.538350656,0.87348672,-2.728375975,-0.139855452,0.873868524,0.180610883,-0.190815512,0.295094075,1.483248771,-2.728375975,1.371951543,0.608650001,0.670103276,1.115177469,1.646383206
MUC17,-0.298191819,-0.290530089,-0.275276771,-0.298191819,-0.298191819,-0.298191819,-0.273325124,-0.298191819,-0.298191819,-0.298191819,-0.298191819,-0.298191819,-0.282391869,-0.298191819,-0.286372807,-0.298191819,-0.273209018,-0.298191819,-0.277908782,-0.298191819,-0.298191819,-0.290157623,-0.27232769,-0.298191819,-0.298191819,-0.298191819,-0.298191819,-0.290006076,-0.298191819,-0.290357377,-0.298191819,-0.298191819,3.375670211,-0.272119269,-0.298191819,-0.191107664,-0.25820054,2.503258549,-0.298191819,-0.298191819,-0.298191819,-0.298191819,0.708953801,1.477014571,4.985502577,-0.293542194,-0.298191819,-0.298191819,-0.286004073,-0.298191819
NCF2,-0.801430931,-0.320711461,-0.78420578,-0.129668748,-0.613689368,-0.227941177,1.19432661,0.118027884,0.144871016,-0.118818143,-0.558021903,-0.29717225,-0.384216514,0.14970556,-0.057100421,-0.610088939,0.751446848,0.54711927,0.170895428,-0.356381393,-0.847084189,-0.561076839,-0.776717947,-0.972062352,-0.739171989,-0.314671129,0.354020216,0.154813409,0.257810922,-0.012167593,-0.214163328,-0.350058451,2.017537239,1.357867349,0.737787557,0.230475353,0.671887038,-2.683710976,0.704371868,1.554454448,0.193313418,0.406109005,0.333219306,1.990786564,-2.683710976,0.565252262,-2.683710976,1.184885853,1.143390558,1.163378791
NDNF,0.018456459,0.016399344,-0.233082041,1.256512661,-0.664201709,0.649464049,1.256294787,0.562670434,1.112188367,-0.542044056,0.0970038,0.283141984,0.25000729,0.797568031,-0.433793638,0.068776099,0.411747517,0.703136784,1.245068132,-0.781495442,0.765307595,0.455356503,0.695016916,0.787190323,-0.609981672,0.2270132,0.255053849,0.272316922,1.259549674,-0.787508948,1.056952719,-1.103774254,-1.103774254,-0.620592701,-1.076847424,-0.768204525,-0.300608533,-1.103774254,-0.504128622,-0.891566356,-1.103774254,-1.103774254,-1.103774254,-1.103774254,4.281884989,-0.613943662,-1.103774254,0.559242646,-0.73206617,-0.953061545
NDST3,-0.503161869,-0.006838283,0.028569714,-0.505394029,-0.535386052,-0.193952918,-0.256699156,1.363060403,0.278959463,-0.519683012,-0.462670079,0.506641564,0.39002215,-0.484960765,-0.455832947,0.969938847,-0.521913056,-0.240658575,0.036870868,-0.386975428,0.223146537,1.285889437,2.254386821,-0.360600951,-0.35073497,-0.2389846,-0.196796203,1.304361315,-0.121640186,0.226167736,-0.171964771,-0.54717763,-0.54717763,-0.434314351,-0.54717763,-0.54717763,-0.366186605,-0.54717763,-0.54717763,-0.509157786,-0.54717763,-0.54717763,-0.193307341,-0.54717763,5.474141898,-0.416051306,-0.54717763,0.516127801,-0.44203289,-0.51061013
NEDD4,0.657489313,0.229024944,0.163572855,0.525533694,0.439424227,0.623793363,1.006160405,0.21896297,0.419710886,0.815010366,0.814237306,0.309091765,0.263320155,0.310706881,0.311353325,0.139083906,1.036117219,0.262374434,0.315317619,0.938343569,0.637004698,-0.508101342,-0.315138305,0.646981706,0.681714872,0.307060212,0.171255361,-0.017346738,0.265357357,0.624172354,1.006713974,-1.843743578,-0.001703611,-0.556957779,-0.414630052,-1.208588843,0.117884796,-1.843743578,-1.819105413,0.059151825,-0.699599567,-1.843743578,-1.330891182,-1.843743578,3.62635339,-0.510885702,-1.843743578,-1.027187272,-0.530723816,0.217297767
NEK1,0.547955064,0.438119736,0.010016311,0.503505995,0.243696669,0.597453406,-0.239532823,0.573585327,0.732915643,0.564559673,0.680305196,0.294107334,0.247681349,0.169592919,0.199797229,0.494755788,-0.181421104,0.689570786,0.648494784,0.556916825,1.007072229,0.060178733,0.356784726,0.467027765,0.427398993,0.503422921,0.491461358,0.544247752,0.772082314,0.452462635,0.633221535,-2.607743071,0.876645619,-0.820307812,-0.920190155,-1.13602852,-0.407709086,1.303517018,-1.420076294,-0.351638715,-1.446322324,-1.162990012,-1.084477582,-2.607743071,2.705567322,-0.673992463,-2.607743071,-0.435161958,-0.551824464,-0.139218431
NEXN,0.220541552,0.138220538,0.045027488,0.658768836,0.183430967,0.871337962,0.797514834,0.59105493,0.381367871,0.451978887,0.332538909,0.154054739,0.526516417,0.703923498,0.333685136,0.56057106,0.537601213,0.499022751,0.564796439,0.379404135,0.418932998,0.065251671,-0.066335462,0.526089778,0.003054027,0.699497526,0.383287953,0.095037157,0.414112698,0.251791726,-0.10917758,1.142086544,-1.681368125,-0.407632419,-1.041499311,-0.554087562,-0.091831264,-1.681368125,-1.681368125,-0.673060309,-1.681368125,-0.575460569,-0.026379894,-1.681368125,4.312940743,-0.940415971,-1.681368125,-1.161614669,-0.96869845,-0.539038766
NFKB2,-0.099955584,-0.698634606,-0.116104907,-0.113647348,0.199527644,-0.262202507,0.887646573,-0.16450829,-0.029563457,-0.056183413,-0.10187089,-0.058025191,0.085979477,-0.035118893,0.072024425,-0.515265588,0.623131639,0.51952047,0.352397342,-0.239549996,-0.203411456,-0.530737719,-1.280377775,-0.751200229,-0.741388004,-0.269144936,-0.604895727,-0.337357037,-0.207301418,-0.537660411,0.784240208,-2.44113929,0.349077389,-0.045833938,-0.750171817,-0.429233501,1.359207555,0.900646828,0.141845231,0.841175372,1.798452244,-0.335465422,0.733833353,2.742444632,-3.539158038,0.791946638,-1.305665045,1.9994353,0.970271031,0.647969082
NFKBIA,-0.432532182,-0.991647255,-1.10400559,-0.074695182,-0.35034359,-0.882201263,-0.198980422,-0.651175535,-0.735074166,-1.027965602,-0.348866291,-0.762851118,-0.907777327,-0.276464851,-0.601002871,-0.957438259,-0.133574651,-0.132750964,-0.288865447,-1.293369502,-0.150495803,-0.855439799,-1.179789279,-0.707147011,-1.37464344,-0.838105071,-0.64870118,-0.681146498,-0.97280226,-1.106838876,0.953296572,0.614467624,0.13761895,1.524526268,0.077377215,-0.180028932,1.464388477,1.014414698,0.892087298,1.639763652,1.41467654,1.353150523,0.968877529,1.816388647,-0.654613009,1.58299224,1.164745384,1.756704706,1.472832058,1.653024846
NR4A2,-0.986766037,-0.892544478,-0.514734969,-0.902130193,-1.040287416,-0.782114463,0.278098505,-0.422851621,-0.614754196,-0.689340414,-1.097414851,-0.72738813,-0.889632823,-0.567380708,-1.117209379,-0.419331019,0.050858912,0.232765785,-0.730462807,-0.704787561,-1.026215744,-0.166412259,-0.562227838,0.566652663,-0.894693533,-0.948558218,-0.448303104,0.516329366,-0.500345229,-0.157958036,1.311676419,0.371899449,0.465101954,1.094415937,0.222622167,0.444231055,1.496857562,-1.943038644,0.77404534,1.164347899,1.177010615,0.829821047,1.404592828,1.346549074,-1.943038644,1.770468674,1.691354898,1.4697309,1.594229368,1.416261898
OLFML3,-0.594329812,-0.204988283,-1.504827742,-0.580916433,-1.363376789,0.009522,0.351624691,0.462448422,0.068100189,0.206131328,-0.292724823,-0.082429029,-0.166597134,-0.061266711,0.187303514,-0.670851256,0.71073586,0.435477525,-0.311086179,0.278324042,-0.22954102,-1.021946625,-1.256191913,-0.710983648,-0.611962237,-0.052478815,0.220806479,0.179184104,0.42351183,0.327538961,0.245400998,-1.224845357,0.170317721,1.127520146,1.438929384,-0.247686534,0.454269377,-4.412434026,0.479902415,0.633873218,1.678976851,-0.348020232,0.716907176,-0.497925495,-0.788117473,1.342364292,1.628411474,0.725791843,1.464164647,1.267989081
OSM,-1.488626715,-0.973729663,-1.238227852,-0.602536183,-0.918808903,-0.509708396,0.81845802,0.279310432,-0.162573377,-0.427234078,-0.967856515,-0.169062581,-1.071721331,0.26682041,-0.706507015,-0.916866785,1.015823768,0.885719432,0.013519684,-0.661894937,-1.19367374,-0.713167745,-1.231033571,0.213338438,-1.098174886,-0.29400305,-0.449772662,0.31754063,-0.297376195,-0.079539812,0.652599444,0.268343123,1.3680374,1.742912171,0.716275226,0.747858441,1.136523356,-1.714501186,1.13198135,1.412552566,0.461821405,1.009335863,1.19826758,-1.714501186,-1.714501186,1.306209822,-0.117500297,1.501644515,1.488761257,1.479445515
PCSK5,-0.926219984,-0.779975737,-0.395324327,1.186265969,0.984957822,0.046335244,0.885869035,0.279051017,0.3155457,0.043895265,-0.784191024,-0.544913804,-0.08173922,1.030807534,0.568292454,0.181905489,0.990506382,0.29632243,0.491837425,-0.356494688,-0.587524171,-0.49492677,-0.204266122,1.021722559,-0.090936202,-0.044755063,-0.263485238,0.096115568,-0.011799035,-0.62531763,-0.47284954,-1.346306986,-1.346306986,-0.396878506,-0.690118157,-1.151240083,0.140899121,-1.346306986,-0.898508926,-0.436584626,-1.346306986,-0.881311195,0.087095302,2.951244797,2.173789642,-0.414707389,3.625289337,-0.104266315,-0.323333486,-0.05085291
PICK1,-1.644956157,0.722075505,0.069056563,0.247135847,-0.362331613,-0.078196537,0.004409612,0.213175531,0.321272415,-0.210903361,-1.505181169,0.431986152,0.426609383,0.312708889,-0.341793839,0.40663134,0.305524775,0.105324122,0.252422712,-0.298883951,-0.783426593,0.689525798,0.803560502,0.02417904,-0.154454677,0.491022906,0.887777437,0.478031287,0.249872205,0.077761167,-0.373422369,-0.927266587,0.413075275,0.06473984,-0.28608581,-0.346267965,0.462253903,-3.612100236,-0.343953732,-0.330000278,1.029065532,-0.088220397,0.736219987,-3.612100236,2.250619938,0.078698832,2.039709038,0.478262582,0.193113184,0.033724209
PIGR,-0.041929425,-0.47361106,-0.5032609,-0.458739934,-0.557744499,-0.079237851,-0.358736257,-0.44335341,-0.356559111,-0.573695002,-0.295239301,-0.516593991,-0.564703081,-0.551421767,-0.330735741,-0.33945889,0.074204895,-0.119790754,-0.362171324,-0.570844328,-0.394918149,-0.598184652,-0.55818545,-0.51750113,-0.518293005,-0.379715057,0.415485425,-0.060227599,0.015326854,-0.440009153,-0.04003193,-0.633479625,-0.633479625,-0.039349058,0.5402087,-0.633479625,0.53431518,-0.633479625,1.322506911,0.201222124,0.404785998,0.540046076,0.779362731,-0.633479625,5.76622496,0.52580049,2.023993518,0.56051853,0.529508249,-0.02187071
PLAUR,-1.709111245,-1.252820662,-0.749602886,-0.48013099,-0.611233067,-0.160398698,1.15931047,-0.133466696,-0.158062456,-0.321136774,-1.219130112,-0.593808576,-0.634277264,0.2421794,-0.194338709,-1.030561648,0.79301779,0.058729984,-0.029002532,-0.734040769,-1.917680155,-1.536632614,-1.768675672,-0.888681429,-1.303186595,-0.887643777,-1.197388485,-0.516108031,-0.351612157,-0.640031441,0.354829783,0.264354225,0.87853938,1.311860419,0.122746144,0.131332061,1.353105371,1.487698788,0.803154153,1.52827906,0.921877473,1.135492441,0.737824251,1.047447537,0.023778034,1.216568688,1.325921603,1.693303864,1.189731906,1.237680619
PLBD1,-0.683353827,-0.41387427,-0.850840365,-0.425326996,-0.76325758,-0.180012767,1.217120972,0.325407805,-0.055206534,0.10470772,-0.671498304,-0.397641992,-0.460422773,-0.040111025,-0.289740481,-0.585907002,0.88972093,0.311756751,-0.197728788,-0.254935767,-1.166579913,-0.586250342,-0.73377729,-0.484426215,-0.83423887,-0.331206496,0.197388578,0.216249986,-0.054160929,0.056879458,-0.29320812,0.157213849,1.025903296,1.358303564,0.679733051,0.469392123,0.735566331,-2.464781915,0.748730482,2.117266479,-0.154587401,0.927700976,-0.107130555,-2.464781915,2.478233751,0.980583489,-2.464781915,0.939757297,0.932668252,1.539485207
PLCXD3,-0.957142953,0.204272311,-0.715754711,-0.389520635,-0.69551243,-0.371571495,1.556695668,1.19238765,-0.238423486,-0.480330641,-0.602966782,0.620360436,0.530984908,-0.015780529,0.08153516,1.503669628,-0.777789117,0.237333323,-0.675036536,-0.224847727,-0.468436356,1.31558718,1.741412464,-0.703730706,-0.032930604,1.067825455,0.810106551,1.574314648,-0.329314583,0.474183905,-0.226288851,-1.076604332,-1.076604332,0.152427864,-0.136169542,-0.297836347,-0.607283065,-1.076604332,-1.076604332,-0.855154482,-0.314825987,-0.730720853,0.140220941,1.23383323,4.145896753,-0.52206783,-1.076604332,-0.62503691,-0.949145892,-0.256407364
PLS1,0.422006372,-0.714599343,0.380832581,-0.048431215,-0.241098937,-0.001936701,-0.347837972,-0.181481059,0.284677562,0.117211503,0.291403196,-0.585205722,0.130731206,-0.184843812,-0.591594923,0.06889232,0.140012437,-0.12557681,0.230385977,0.309136381,-0.111293077,-0.526733908,0.270137582,-0.38792782,-0.192905411,-0.084156584,-0.084342255,-0.019021356,0.278809151,0.088209816,-0.002134119,-1.413000011,-1.413000011,7.97E-05,-0.485951075,-1.413000011,-0.202047146,1.976421637,-1.184430895,0.087552213,0.71741605,-1.35631397,-0.690715042,-1.413000011,4.302635922,0.215678922,3.342143982,0.135542343,0.167854129,0.044808263
PMM2,-0.228775226,0.04927597,0.493903016,0.341538248,0.312590778,0.414493115,0.398406714,0.30464513,0.314416089,0.525397494,-0.268571003,0.349635073,0.189852911,0.405413843,0.390069298,-0.094494998,0.421385305,0.590520761,0.363513932,0.620606454,-0.266475981,-0.35850193,-0.412292812,0.295535177,0.330998143,0.008814454,-0.252630125,0.310130009,0.21334689,0.45553769,0.27685853,-2.487185137,-2.487185137,0.00221131,0.267792424,-0.256078783,0.388842684,2.531740923,-0.190696162,0.524128087,-2.487185137,-0.650582658,-0.152801615,-2.487185137,2.456862054,0.33987171,-2.487185137,-0.241607778,0.381606155,0.539494386
PNOC,-0.702692655,-0.462532993,-0.128554852,-0.333278624,0.318398579,0.934634023,-0.41653465,0.710621131,-0.419791996,-0.661728417,-0.542268763,1.242116601,1.155179709,-0.290201785,0.007748583,1.088052265,-0.292180214,-0.285008137,-0.291397175,0.490549112,-0.652700481,1.8529938,1.751149833,1.6159318,0.753515623,-0.569637451,-0.399461238,0.720215842,-0.620363668,0.551416328,-0.702692655,-0.702692655,-0.702692655,-0.492053667,-0.41751761,-0.702692655,-0.513842755,-0.702692655,-0.702692655,-0.266193485,-0.702692655,-0.702692655,0.332631127,-0.702692655,4.677429805,-0.674798281,-0.702692655,-0.702692655,-0.535147626,-0.505078432
POLR2L,-0.125116206,0.277997161,0.081437941,0.061037071,-0.055002638,-0.265210289,-0.07844,-0.059011357,0.149198297,-0.350277602,-0.12618533,0.245322039,0.154309443,0.220966046,0.125126524,-0.155143507,0.207829546,0.060279222,0.108182576,-0.318328374,-0.115954707,0.430736468,-0.327668717,0.354184633,0.221896729,-0.075033418,-0.317323921,-0.172931114,0.240314761,-0.122496105,-0.276895232,1.151147073,1.46764358,0.165369712,0.429017188,1.2111746,-0.053859053,-4.244954693,0.878220061,-0.318768805,0.770696198,0.990840035,0.670689461,0.627138644,-4.244954693,-0.303531316,1.620903748,-0.173452433,-0.088959206,-0.552160043
PRDM1,-0.850938007,-0.903633791,-1.139810456,-0.681195018,-1.065731101,-0.645086444,0.390212922,-0.125439991,-0.372575428,-0.175860357,-0.817292466,-0.70162258,-0.466900671,-0.566357689,-0.874519823,-0.710898315,0.516030944,0.122745632,-0.622716302,-0.050662788,-0.931290973,-1.065638473,-0.716750963,-0.138243907,-0.934578003,-0.838604538,-0.09692911,-0.29500266,-0.288089239,-0.070613082,1.169418708,-0.612629397,-0.617538856,0.747098175,-0.309387364,-0.114415807,1.649517314,0.259634045,0.700545485,1.433674255,1.239022127,0.271899422,0.740262268,2.040464897,-2.31771006,1.990020289,1.770360932,1.243879068,1.743935141,2.089942033
PRDM8,-1.04174303,0.19540831,-0.855109633,0.516875194,-1.281992589,0.017555503,-0.634071564,0.963169755,0.225520188,-0.890246018,-0.87848568,0.490485688,0.444381275,0.344833442,-1.01407577,1.394887835,-1.131277885,-0.074333217,-0.210842831,-0.854777711,-0.055344143,1.393821017,1.950376032,-0.04358066,-0.622716593,0.720928907,0.166661656,1.191289107,0.204913622,0.297004928,0.581380759,-2.003677274,0.142439419,-0.225336248,-1.463056498,-0.564175396,0.274209082,-2.003677274,-0.234356391,-0.224914504,0.476166401,-0.290457782,0.967089554,-2.003677274,2.259639193,0.586386118,2.299922217,0.818735749,0.413792591,-0.73594758
PTGER4,-0.934580526,-0.897576051,-1.103579238,-0.687386339,-1.021995617,0.134083023,0.629967912,-0.540514507,-0.16138188,-0.274613706,-1.06451387,-0.843220989,-0.835062149,-0.283313767,-0.504566155,-0.496577843,0.349298257,-0.022551029,-0.392437287,-0.676736248,-1.14687147,-1.041277555,-1.132504471,-0.995640213,-0.918432332,-0.218659272,0.057747164,-0.232396932,-0.252417154,-0.337740259,0.83806762,0.81478051,1.211337396,0.831723108,0.194691591,0.123361718,1.355096084,-1.862964746,1.21329281,1.783508311,0.914271477,0.363298715,0.873080209,-1.862964746,0.608866851,2.071230352,1.112987589,1.38502455,1.782329993,2.094431108
